"id_commande","date","client_id","produit","categorie","quantite","prix_unitaire","remise","ville","mode_paiement"
"CMD0002",2024-01-03,"C005","Crème hydratante","Beauté",2,22,0,"Paris","Virement"
"CMD0003",2024-01-03,"C072","Lampe de bureau","Maison",2,34.9,0.05,"Lyon","Carte"
"CMD0004",2024-01-05,"C026","Crème hydratante","Beauté",3,22,0.2,"Paris","Carte"
"CMD0005",2024-01-06,"C053","Lampe de bureau","Maison",1,34.9,0.1,"Marseille","Paypal"
"CMD0006",2024-01-07,"C095","Plaid en laine","Maison",1,45.5,0,"Lyon","Carte"
"CMD0007",2024-01-09,"C120","Coussin décoratif","Maison",2,19.9,0,"Lille","Carte"
"CMD0008",2024-01-11,"C017","Set de casseroles","Maison",1,79,0.05,"Nantes","Paypal"
"CMD0009",2024-01-12,"C068","Haltères 5 kg","Sport",1,29.9,0.1,"Marseille","Carte"
"CMD0010",2024-01-12,"C008","Corde à sauter","Sport",4,9.9,0.2,"Bordeaux","Paypal"
"CMD0011",2024-01-13,"C081","Parfum d'ambiance","Beauté",2,27,0,"Marseille","Carte"
"CMD0012",2024-01-14,"C113","Parfum d'ambiance","Beauté",2,27,0,"Lille","Carte"
"CMD0013",2024-01-15,"C063","Parfum d'ambiance","Beauté",2,27,0,"Lille","Virement"
"CMD0014",2024-01-15,"C022","Corde à sauter","Sport",1,9.9,0,"Marseille","Carte"
"CMD0015",2024-01-15,"C019","Haltères 5 kg","Sport",4,29.9,0,"Paris","Carte"
"CMD0016",2024-01-16,"C090","Huile d'argan","Beauté",1,15.9,0,"Paris","Carte"
"CMD0017",2024-01-21,"C059","Savon naturel","Beauté",4,6.5,0,"Lille","Carte"
"CMD0018",2024-01-22,"C026","Haltères 5 kg","Sport",2,29.9,0.05,"Paris","Paypal"
"CMD0019",2024-01-25,"C029","Coussin décoratif","Maison",2,19.9,0,"Marseille","Carte"
"CMD0020",2024-01-25,"C069","Coussin décoratif","Maison",1,19.9,0.1,"Lille","Virement"
"CMD0021",2024-01-25,"C074","Parfum d'ambiance","Beauté",1,27,0.15,"Lille","Paypal"
"CMD0022",2024-01-25,"C066","Haltères 5 kg","Sport",2,29.9,0.2,"Lyon","Carte"
"CMD0023",2024-01-27,"C002","Set de casseroles","Maison",4,79,0,"Marseille","Paypal"
"CMD0024",2024-01-27,"C025","Haltères 5 kg","Sport",1,29.9,0.1,"Lyon","Carte"
"CMD0025",2024-01-28,"C114","Tapis de yoga","Sport",3,24.9,0,"Lille","Carte"
"CMD0026",2024-01-28,"C007","Gourde isotherme","Sport",2,17.5,0.05,"Paris","Carte"
"CMD0027",2024-01-28,"C043","Lampe de bureau","Maison",3,34.9,0,"Paris","Inconnu"
"CMD0028",2024-01-29,"C052","Coussin décoratif","Maison",1,19.9,0,"Paris","Carte"
"CMD0029",2024-01-29,"C003","Tapis de yoga","Sport",2,24.9,0,"Lille","Carte"
"CMD0030",2024-01-29,"C010","Set de casseroles","Maison",1,79,0,"Paris","Carte"
"CMD0031",2024-01-30,"C070","Huile d'argan","Beauté",4,15.9,0,"Lyon","Paypal"
"CMD0032",2024-01-30,"C014","Tapis de yoga","Sport",2,24.9,0,"Lille","Carte"
"CMD0033",2024-02-02,"C021","Set de casseroles","Maison",3,79,0,"Paris","Paypal"
"CMD0034",2024-02-02,"C019","Plaid en laine","Maison",2,45.5,0.2,"Marseille","Carte"
"CMD0035",2024-02-05,"C104","Coussin décoratif","Maison",1,19.9,0,"Paris","Inconnu"
"CMD0036",2024-02-05,"C026","Haltères 5 kg","Sport",1,29.9,0.15,"Marseille","Paypal"
"CMD0037",2024-02-07,"C013","Huile d'argan","Beauté",3,15.9,0,"Nantes","Paypal"
"CMD0038",2024-02-08,"C084","Corde à sauter","Sport",1,9.9,0,"Bordeaux","Virement"
"CMD0039",2024-02-08,"C080","Gourde isotherme","Sport",5,17.5,0.2,"Paris","Carte"
"CMD0040",2024-02-10,"C109","Savon naturel","Beauté",2,6.5,0.2,"Paris","Inconnu"
"CMD0041",2024-02-11,"C032","Parfum d'ambiance","Beauté",2,27,0,"Lyon","Carte"
"CMD0042",2024-02-11,"C070","Coussin décoratif","Maison",4,19.9,0.15,"Lille","Virement"
"CMD0043",2024-02-12,"C046","Gourde isotherme","Sport",1,17.5,0,"Bordeaux","Paypal"
"CMD0044",2024-02-12,"C003","Corde à sauter","Sport",1,9.9,0,"Marseille","Carte"
"CMD0045",2024-02-16,"C087","Crème hydratante","Beauté",3,22,0,"Paris","Carte"
"CMD0046",2024-02-16,"C098","Coussin décoratif","Maison",2,19.9,0,"Paris","Carte"
"CMD0047",2024-02-16,"C075","Crème hydratante","Beauté",4,22,0,"Paris","Carte"
"CMD0048",2024-02-17,"C027","Lampe de bureau","Maison",1,34.9,0,"Lyon","Carte"
"CMD0049",2024-02-17,"C038","Tapis de yoga","Sport",1,24.9,0,"Paris","Carte"
"CMD0051",2024-02-19,"C065","Corde à sauter","Sport",4,9.9,0,"Nantes","Paypal"
"CMD0052",2024-02-20,"C021","Corde à sauter","Sport",2,9.9,0.2,"Paris","Carte"
"CMD0053",2024-02-21,"C031","Tapis de yoga","Sport",2,24.9,0,"Marseille","Carte"
"CMD0054",2024-02-23,"C006","Tapis de yoga","Sport",2,24.9,0.15,"Paris","Carte"
"CMD0055",2024-02-24,"C041","Coussin décoratif","Maison",2,19.9,0.1,"Lyon","Carte"
"CMD0056",2024-02-26,"C091","Gourde isotherme","Sport",4,17.5,0,"Paris","Virement"
"CMD0057",2024-02-27,"C074","Plaid en laine","Maison",3,45.5,0.1,"Lyon","Virement"
"CMD0058",2024-02-28,"C008","Parfum d'ambiance","Beauté",4,27,0.1,"Nantes","Carte"
"CMD0059",2024-02-28,"C051","Lampe de bureau","Maison",1,34.9,0.2,"Bordeaux","Carte"
"CMD0060",2024-03-02,"C078","Haltères 5 kg","Sport",1,29.9,0.05,"Lille","Paypal"
"CMD0061",2024-03-02,"C104","Tapis de yoga","Sport",4,24.9,0.15,"Paris","Carte"
"CMD0062",2024-03-06,"C099","Savon naturel","Beauté",3,6.5,0,"Lille","Paypal"
"CMD0063",2024-03-06,"C028","Tapis de yoga","Sport",3,24.9,0,"Nantes","Carte"
"CMD0064",2024-03-08,"C020","Crème hydratante","Beauté",1,22,0.2,"Paris","Carte"
"CMD0067",2024-03-09,"C107","Gourde isotherme","Sport",2,17.5,0.1,"Nantes","Carte"
"CMD0068",2024-03-15,"C067","Parfum d'ambiance","Beauté",1,27,0,"Lyon","Carte"
"CMD0069",2024-03-15,"C008","Savon naturel","Beauté",2,6.5,0,"Lyon","Carte"
"CMD0070",2024-03-17,"C059","Huile d'argan","Beauté",5,15.9,0.1,"Lyon","Carte"
"CMD0071",2024-03-18,"C069","Huile d'argan","Beauté",1,15.9,0.05,"Paris","Inconnu"
"CMD0072",2024-03-19,"C097","Plaid en laine","Maison",5,45.5,0,"Marseille","Inconnu"
"CMD0073",2024-03-19,"C043","Savon naturel","Beauté",1,6.5,0,"Lille","Paypal"
"CMD0074",2024-03-24,"C117","Set de casseroles","Maison",3,79,0.2,"Nantes","Carte"
"CMD0075",2024-03-24,"C057","Tapis de yoga","Sport",2,24.9,0.15,"Paris","Carte"
"CMD0076",2024-03-25,"C111","Haltères 5 kg","Sport",1,29.9,0,"Lyon","Carte"
"CMD0077",2024-03-26,"C069","Corde à sauter","Sport",1,9.9,0,"Lille","Carte"
"CMD0078",2024-03-27,"C020","Haltères 5 kg","Sport",1,29.9,0,"Paris","Paypal"
"CMD0079",2024-03-28,"C013","Coussin décoratif","Maison",3,19.9,0.2,"Bordeaux","Paypal"
"CMD0080",2024-03-28,"C092","Gourde isotherme","Sport",1,17.5,0,"Lille","Paypal"
"CMD0081",2024-03-29,"C113","Corde à sauter","Sport",1,9.9,0,"Paris","Carte"
"CMD0082",2024-04-01,"C020","Coussin décoratif","Maison",2,19.9,0,"Lyon","Paypal"
"CMD0083",2024-04-01,"C085","Set de casseroles","Maison",4,79,0,"Paris","Paypal"
"CMD0084",2024-04-01,"C043","Gourde isotherme","Sport",1,17.5,0.05,"Lille","Paypal"
"CMD0085",2024-04-02,"C012","Coussin décoratif","Maison",1,19.9,0.2,"Paris","Carte"
"CMD0086",2024-04-02,"C111","Crème hydratante","Beauté",1,22,0,"Marseille","Virement"
"CMD0087",2024-04-03,"C025","Huile d'argan","Beauté",1,15.9,0.15,"Paris","Carte"
"CMD0088",2024-04-03,"C053","Set de casseroles","Maison",2,79,0.05,"Lyon","Carte"
"CMD0089",2024-04-04,"C018","Corde à sauter","Sport",1,9.9,0,"Nantes","Paypal"
"CMD0090",2024-04-04,"C097","Savon naturel","Beauté",4,6.5,0.05,"Bordeaux","Virement"
"CMD0091",2024-04-05,"C095","Huile d'argan","Beauté",2,15.9,0,"Paris","Carte"
"CMD0092",2024-04-06,"C112","Corde à sauter","Sport",2,9.9,0,"Paris","Carte"
"CMD0093",2024-04-06,"C117","Haltères 5 kg","Sport",3,29.9,0,"Lyon","Inconnu"
"CMD0094",2024-04-07,"C068","Lampe de bureau","Maison",2,34.9,0,"Lille","Paypal"
"CMD0095",2024-04-07,"C070","Coussin décoratif","Maison",2,19.9,0,"Paris","Inconnu"
"CMD0096",2024-04-10,"C109","Huile d'argan","Beauté",1,15.9,0.1,"Lille","Carte"
"CMD0097",2024-04-10,"C102","Savon naturel","Beauté",2,6.5,0,"Paris","Virement"
"CMD0098",2024-04-12,"C062","Haltères 5 kg","Sport",3,29.9,0.1,"Lille","Carte"
"CMD0099",2024-04-12,"C017","Plaid en laine","Maison",3,45.5,0.1,"Marseille","Carte"
"CMD0100",2024-04-13,"C092","Corde à sauter","Sport",3,9.9,0,"Lille","Virement"
"CMD0101",2024-04-14,"C058","Parfum d'ambiance","Beauté",1,27,0,"Bordeaux","Carte"
"CMD0102",2024-04-19,"C002","Tapis de yoga","Sport",4,24.9,0.15,"Paris","Carte"
"CMD0103",2024-04-22,"C011","Plaid en laine","Maison",2,45.5,0.15,"Lille","Carte"
"CMD0104",2024-04-23,"C084","Coussin décoratif","Maison",3,19.9,0.1,"Nantes","Paypal"
"CMD0106",2024-04-25,"C015","Tapis de yoga","Sport",2,24.9,0,"Lille","Carte"
"CMD0107",2024-04-25,"C095","Corde à sauter","Sport",2,9.9,0.1,"Marseille","Virement"
"CMD0108",2024-04-25,"C076","Plaid en laine","Maison",2,45.5,0,"Paris","Paypal"
"CMD0109",2024-04-26,"C095","Parfum d'ambiance","Beauté",3,27,0,"Bordeaux","Virement"
"CMD0110",2024-04-26,"C101","Set de casseroles","Maison",2,79,0.1,"Paris","Paypal"
"CMD0111",2024-04-28,"C014","Crème hydratante","Beauté",1,22,0,"Marseille","Paypal"
"CMD0112",2024-04-29,"C116","Plaid en laine","Maison",1,45.5,0,"Marseille","Carte"
"CMD0113",2024-04-30,"C065","Corde à sauter","Sport",1,9.9,0,"Lille","Carte"
"CMD0114",2024-04-30,"C113","Lampe de bureau","Maison",3,34.9,0,"Paris","Carte"
"CMD0115",2024-05-01,"C062","Parfum d'ambiance","Beauté",1,27,0.1,"Lille","Paypal"
"CMD0116",2024-05-02,"C012","Plaid en laine","Maison",1,45.5,0.05,"Lille","Paypal"
"CMD0117",2024-05-02,"C072","Huile d'argan","Beauté",5,15.9,0.1,"Lille","Carte"
"CMD0118",2024-05-05,"C025","Huile d'argan","Beauté",3,15.9,0.1,"Lille","Carte"
"CMD0119",2024-05-06,"C062","Tapis de yoga","Sport",2,24.9,0.2,"Paris","Carte"
"CMD0120",2024-05-06,"C059","Plaid en laine","Maison",1,45.5,0,"Marseille","Carte"
"CMD0121",2024-05-06,"C100","Gourde isotherme","Sport",1,17.5,0.05,"Paris","Virement"
"CMD0122",2024-05-07,"C053","Huile d'argan","Beauté",2,15.9,0.1,"Lyon","Virement"
"CMD0123",2024-05-09,"C111","Corde à sauter","Sport",1,9.9,0.1,"Lyon","Paypal"
"CMD0124",2024-05-09,"C043","Tapis de yoga","Sport",2,24.9,0,"Paris","Paypal"
"CMD0126",2024-05-10,"C079","Haltères 5 kg","Sport",1,29.9,0,"Lille","Paypal"
"CMD0127",2024-05-11,"C101","Lampe de bureau","Maison",5,34.9,0,"Lyon","Virement"
"CMD0128",2024-05-12,"C008","Haltères 5 kg","Sport",1,29.9,0.1,"Paris","Carte"
"CMD0129",2024-05-14,"C072","Gourde isotherme","Sport",2,17.5,0.2,"Paris","Paypal"
"CMD0130",2024-05-14,"C048","Savon naturel","Beauté",2,6.5,0.1,"Lille","Carte"
"CMD0131",2024-05-14,"C078","Parfum d'ambiance","Beauté",2,27,0,"Lyon","Carte"
"CMD0133",2024-05-16,"C105","Coussin décoratif","Maison",2,19.9,0,"Paris","Carte"
"CMD0134",2024-05-16,"C081","Plaid en laine","Maison",3,45.5,0.1,"Lille","Carte"
"CMD0135",2024-05-17,"C028","Plaid en laine","Maison",2,45.5,0,"Lyon","Paypal"
"CMD0136",2024-05-19,"C088","Savon naturel","Beauté",2,6.5,0,"Marseille","Carte"
"CMD0137",2024-05-21,"C012","Huile d'argan","Beauté",3,15.9,0,"Lille","Carte"
"CMD0138",2024-05-21,"C076","Plaid en laine","Maison",1,45.5,0.15,"Lyon","Carte"
"CMD0139",2024-05-21,"C020","Set de casseroles","Maison",2,79,0.05,"Bordeaux","Carte"
"CMD0140",2024-05-21,"C058","Coussin décoratif","Maison",1,19.9,0.1,"Paris","Carte"
"CMD0141",2024-05-23,"C003","Lampe de bureau","Maison",2,34.9,0,"Nantes","Carte"
"CMD0142",2024-05-24,"C119","Crème hydratante","Beauté",2,22,0.1,"Bordeaux","Carte"
"CMD0144",2024-05-25,"C013","Plaid en laine","Maison",3,45.5,0.1,"Nantes","Virement"
"CMD0145",2024-05-25,"C080","Tapis de yoga","Sport",2,24.9,0.15,"Marseille","Carte"
"CMD0146",2024-05-26,"C102","Gourde isotherme","Sport",2,17.5,0.1,"Nantes","Paypal"
"CMD0147",2024-05-26,"C099","Haltères 5 kg","Sport",1,29.9,0,"Lille","Virement"
"CMD0149",2024-05-27,"C030","Parfum d'ambiance","Beauté",1,27,0.1,"Bordeaux","Carte"
"CMD0150",2024-05-29,"C096","Haltères 5 kg","Sport",3,29.9,0,"Paris","Carte"
"CMD0151",2024-05-29,"C101","Parfum d'ambiance","Beauté",1,27,0.15,"Lyon","Paypal"
"CMD0152",2024-05-30,"C018","Coussin décoratif","Maison",1,19.9,0,"Lyon","Virement"
"CMD0153",2024-06-05,"C097","Plaid en laine","Maison",1,45.5,0,"Paris","Paypal"
"CMD0154",2024-06-05,"C062","Gourde isotherme","Sport",3,17.5,0.15,"Paris","Carte"
"CMD0155",2024-06-06,"C049","Corde à sauter","Sport",1,9.9,0.1,"Nantes","Paypal"
"CMD0156",2024-06-08,"C011","Gourde isotherme","Sport",2,17.5,0.05,"Lyon","Carte"
"CMD0157",2024-06-09,"C005","Gourde isotherme","Sport",5,17.5,0.05,"Marseille","Carte"
"CMD0158",2024-06-09,"C035","Lampe de bureau","Maison",1,34.9,0.2,"Lille","Carte"
"CMD0159",2024-06-09,"C071","Huile d'argan","Beauté",2,15.9,0,"Bordeaux","Inconnu"
