"client_id","id_commande","date","produit","categorie","quantite","prix_unitaire","remise","ville","mode_paiement","montant","mois","segment","age","canal"
"C005","CMD0002",2024-01-03,"Crème hydratante","Beauté",2,22,0,"Paris","Virement",44,1,"Standard",56,"Bouche-à-oreille"
"C072","CMD0003",2024-01-03,"Lampe de bureau","Maison",2,34.9,0.05,"Lyon","Carte",66.31,1,"Standard",53,"Bouche-à-oreille"
"C026","CMD0004",2024-01-05,"Crème hydratante","Beauté",3,22,0.2,"Paris","Carte",52.8,1,"Standard",50,"Moteur de recherche"
"C053","CMD0005",2024-01-06,"Lampe de bureau","Maison",1,34.9,0.1,"Marseille","Paypal",31.41,1,"Standard",25,"Moteur de recherche"
"C095","CMD0006",2024-01-07,"Plaid en laine","Maison",1,45.5,0,"Lyon","Carte",45.5,1,"Nouveau",42,"Bouche-à-oreille"
"C120","CMD0007",2024-01-09,"Coussin décoratif","Maison",2,19.9,0,"Lille","Carte",39.8,1,"Standard",24,"Bouche-à-oreille"
"C017","CMD0008",2024-01-11,"Set de casseroles","Maison",1,79,0.05,"Nantes","Paypal",75.05,1,"Standard",43,"Réseaux sociaux"
"C068","CMD0009",2024-01-12,"Haltères 5 kg","Sport",1,29.9,0.1,"Marseille","Carte",26.91,1,"Nouveau",70,"Bouche-à-oreille"
"C008","CMD0010",2024-01-12,"Corde à sauter","Sport",4,9.9,0.2,"Bordeaux","Paypal",31.68,1,"Standard",31,"Bouche-à-oreille"
"C081","CMD0011",2024-01-13,"Parfum d'ambiance","Beauté",2,27,0,"Marseille","Carte",54,1,"Standard",42,"Bouche-à-oreille"
"C113","CMD0012",2024-01-14,"Parfum d'ambiance","Beauté",2,27,0,"Lille","Carte",54,1,"Premium",30,"Publicité"
"C063","CMD0013",2024-01-15,"Parfum d'ambiance","Beauté",2,27,0,"Lille","Virement",54,1,"Standard",41,"Moteur de recherche"
"C022","CMD0014",2024-01-15,"Corde à sauter","Sport",1,9.9,0,"Marseille","Carte",9.9,1,"Standard",60,"Réseaux sociaux"
