"client_id","segment","age","canal"
"C001","Premium",49,"Réseaux sociaux"
"C002","Standard",56,"Bouche-à-oreille"
"C003","Nouveau",52,"Publicité"
"C004","Nouveau",21,"Publicité"
"C005","Standard",56,"Bouche-à-oreille"
"C006","Nouveau",47,"Moteur de recherche"
"C007","Standard",60,"Moteur de recherche"
"C008","Standard",31,"Bouche-à-oreille"
"C009","Premium",28,"Bouche-à-oreille"
"C010","Standard",26,"Publicité"
"C011","Premium",38,"Réseaux sociaux"
"C012","Premium",64,"Réseaux sociaux"
"C013","Nouveau",19,"Moteur de recherche"
"C014","Standard",57,"Moteur de recherche"
"C015","Standard",27,"Bouche-à-oreille"
"C016","Premium",36,"Publicité"
"C017","Standard",43,"Réseaux sociaux"
"C018","Premium",51,"Publicité"
"C019","Standard",66,"Moteur de recherche"
"C020","Standard",63,"Réseaux sociaux"
"C021","Standard",19,"Bouche-à-oreille"
"C022","Standard",60,"Réseaux sociaux"
"C023","Nouveau",44,"Réseaux sociaux"
"C024","Premium",38,"Moteur de recherche"
"C025","Nouveau",47,"Moteur de recherche"
"C026","Standard",50,"Moteur de recherche"
"C027","Nouveau",19,"Réseaux sociaux"
"C028","Premium",52,"Réseaux sociaux"
"C029","Standard",62,"Publicité"
"C030","Standard",54,"Moteur de recherche"
"C031","Standard",54,"Réseaux sociaux"
"C032","Standard",45,"Publicité"
"C033","Standard",38,"Moteur de recherche"
"C034","Premium",51,"Moteur de recherche"
"C035","Nouveau",66,"Publicité"
"C036","Nouveau",38,"Moteur de recherche"
"C037","Standard",53,"Moteur de recherche"
"C038","Premium",33,"Publicité"
"C039","Standard",48,"Publicité"
"C040","Nouveau",58,"Moteur de recherche"
"C041","Premium",39,"Réseaux sociaux"
"C042","Premium",38,"Réseaux sociaux"
"C043","Nouveau",35,"Publicité"
"C044","Standard",19,"Moteur de recherche"
"C045","Premium",30,"Bouche-à-oreille"
"C046","Standard",27,"Réseaux sociaux"
"C047","Standard",18,"Moteur de recherche"
"C048","Standard",68,"Publicité"
"C049","Nouveau",50,"Publicité"
"C050","Nouveau",67,"Publicité"
"C051","Standard",18,"Publicité"
"C052","Nouveau",57,"Moteur de recherche"
"C053","Standard",25,"Moteur de recherche"
"C054","Standard",33,"Bouche-à-oreille"
"C055","Nouveau",59,"Publicité"
"C056","Nouveau",22,"Réseaux sociaux"
"C057","Standard",22,"Moteur de recherche"
"C058","Standard",28,"Moteur de recherche"
"C059","Standard",56,"Moteur de recherche"
"C060","Standard",18,"Bouche-à-oreille"
"C061","Standard",20,"Moteur de recherche"
"C062","Standard",31,"Publicité"
"C063","Standard",41,"Moteur de recherche"
"C064","Nouveau",41,"Publicité"
"C065","Standard",26,"Bouche-à-oreille"
"C066","Premium",45,"Moteur de recherche"
"C067","Premium",46,"Réseaux sociaux"
"C068","Nouveau",70,"Bouche-à-oreille"
"C069","Standard",21,"Bouche-à-oreille"
"C070","Standard",43,"Moteur de recherche"
"C071","Nouveau",61,"Bouche-à-oreille"
"C072","Standard",53,"Bouche-à-oreille"
"C073","Nouveau",36,"Réseaux sociaux"
"C074","Standard",41,"Moteur de recherche"
"C075","Standard",52,"Bouche-à-oreille"
"C076","Nouveau",54,"Bouche-à-oreille"
"C077","Standard",46,"Bouche-à-oreille"
"C078","Standard",66,"Réseaux sociaux"
"C079","Nouveau",31,"Moteur de recherche"
"C080","Standard",54,"Moteur de recherche"
"C081","Standard",42,"Bouche-à-oreille"
"C082","Standard",25,"Bouche-à-oreille"
"C083","Standard",43,"Publicité"
"C084","Standard",25,"Bouche-à-oreille"
"C085","Nouveau",66,"Réseaux sociaux"
"C086","Standard",30,"Moteur de recherche"
"C087","Premium",23,"Moteur de recherche"
"C088","Standard",18,"Réseaux sociaux"
"C089","Standard",47,"Réseaux sociaux"
"C090","Premium",29,"Bouche-à-oreille"
"C091","Standard",58,"Réseaux sociaux"
"C092","Premium",27,"Réseaux sociaux"
"C093","Nouveau",56,"Réseaux sociaux"
"C094","Standard",48,"Réseaux sociaux"
"C095","Nouveau",42,"Bouche-à-oreille"
"C096","Standard",50,"Bouche-à-oreille"
"C097","Nouveau",26,"Moteur de recherche"
"C098","Standard",29,"Publicité"
"C099","Premium",67,"Moteur de recherche"
"C100","Standard",68,"Publicité"
"C101","Standard",69,"Moteur de recherche"
"C102","Nouveau",66,"Bouche-à-oreille"
"C103","Standard",50,"Réseaux sociaux"
"C104","Standard",68,"Publicité"
"C105","Standard",22,"Réseaux sociaux"
"C106","Premium",49,"Bouche-à-oreille"
"C107","Standard",54,"Publicité"
"C108","Standard",42,"Publicité"
"C109","Standard",64,"Publicité"
"C110","Premium",26,"Réseaux sociaux"
"C111","Standard",42,"Bouche-à-oreille"
"C112","Nouveau",18,"Moteur de recherche"
"C113","Premium",30,"Publicité"
"C114","Standard",48,"Bouche-à-oreille"
"C115","Standard",69,"Publicité"
"C116","Premium",43,"Réseaux sociaux"
"C117","Premium",29,"Réseaux sociaux"
"C118","Standard",61,"Moteur de recherche"
"C119","Standard",46,"Moteur de recherche"
"C120","Standard",24,"Bouche-à-oreille"
"C121","Premium",27,"Bouche-à-oreille"
"C122","Standard",60,"Réseaux sociaux"
"C123","Premium",36,"Moteur de recherche"
"C124","Standard",70,"Réseaux sociaux"
"C125","Nouveau",47,"Moteur de recherche"
"C126","Standard",28,"Moteur de recherche"
"C127","Standard",51,"Bouche-à-oreille"
"C128","Premium",42,"Bouche-à-oreille"
"C129","Premium",33,"Moteur de recherche"
"C130","Premium",54,"Bouche-à-oreille"
