id_commande;date;client_id;produit;categorie;quantite;prix_unitaire;remise;ville;mode_paiement
CMD0001;02/01/2024;C095;Haltères 5 kg;Sport;;29,9;0,15;NANTES;Carte
CMD0002;03/01/2024;C005;Crème hydratante;beauté;2;22;0;Paris ;Virement
CMD0003;03/01/2024;C072;Lampe de bureau;Maison;2;34,9;0,05;LYON;Carte
CMD0004;05/01/2024;C026;Crème hydratante;Beaute;3;22;0,2;Paris;Carte
CMD0005;06/01/2024;C053;Lampe de bureau;Maison;1;34,9;0,1;Marseille;Paypal
CMD0006;07/01/2024;C095;Plaid en laine;Maison;1;45,5;0;Lyon;Carte
CMD0007;09/01/2024;C120;Coussin décoratif;Maison;2;19,9;0;lille;Carte
CMD0008;11/01/2024;C017;Set de casseroles;Maison;1;79;0,05;Nantes;Paypal
CMD0009;12/01/2024;C068;Haltères 5 kg;Sport;1;29,9;0,1;Marseille ;Carte
CMD0010;12/01/2024;C008;Corde à sauter;sport;4;9,9;0,2;Bordeaux;Paypal
CMD0011;13/01/2024;C081;Parfum d'ambiance;Beauté;2;27;0;Marseille;Carte
CMD0012;14/01/2024;C113;Parfum d'ambiance;Beaute;2;27;0;Lille ;Carte
CMD0013;15/01/2024;C063;Parfum d'ambiance;Beauté;2;27;0;Lille;Virement
CMD0014;15/01/2024;C022;Corde à sauter;Sport ;1;9,9;0;Marseille;Carte
CMD0015;15/01/2024;C019;Haltères 5 kg;Sport;4;29,9;0;Paris;Carte
CMD0016;16/01/2024;C090;Huile d'argan;Beauté;1;15,9;0;Paris ;Carte
CMD0017;21/01/2024;C059;Savon naturel;BEAUTE;4;6,5;;Lille;Carte
CMD0018;22/01/2024;C026;Haltères 5 kg;Sport ;2;29,9;0,05;Paris;Paypal
CMD0019;25/01/2024;C029;Coussin décoratif;Maison;2;19,9;0;Marseille;Carte
CMD0020;25/01/2024;C069;Coussin décoratif;Maison ;1;19,9;0,1;Lille;Virement
CMD0021;25/01/2024;C074;Parfum d'ambiance;Beauté;1;27;0,15;Lille;Paypal
CMD0022;25/01/2024;C066;Haltères 5 kg;Sport;2;29,9;0,2;Lyon;Carte
CMD0023;27/01/2024;C002;Set de casseroles;Maison;4;;0;Marseille;Paypal
CMD0024;27/01/2024;C025;Haltères 5 kg;SPORT;1;29,9;0,1;Lyon;Carte
CMD0025;28/01/2024;C114;Tapis de yoga;Sport;3;24,9;0;Lille;Carte
CMD0026;28/01/2024;C007;Gourde isotherme;Sport;2;17,5;0,05;Paris;Carte
CMD0027;28/01/2024;C043;Lampe de bureau;Maison;3;34,9;0;Paris ;
CMD0028;29/01/2024;C052;Coussin décoratif;Maison;1;19,9;0;Paris;Carte
CMD0029;29/01/2024;C003;Tapis de yoga;Sport;2;24,9;0;Lille;Carte
CMD0030;29/01/2024;C010;Set de casseroles;Maison;1;79;0;Paris;Carte
CMD0031;30/01/2024;C070;Huile d'argan;BEAUTÉ;4;15,9;0;Lyon;Paypal
CMD0032;30/01/2024;C014;Tapis de yoga;Sport;2;24,9;0;Lille;Carte
CMD0033;02/02/2024;C021;Set de casseroles;Maison;3;79;0;Paris;Paypal
CMD0034;02/02/2024;C019;Plaid en laine;Maison;2;45,5;0,2;Marseille;Carte
CMD0035;05/02/2024;C104;Coussin décoratif;MAISON;1;19,9;0;PARIS;
CMD0036;05/02/2024;C026;Haltères 5 kg;Sport;1;29,9;0,15;MARSEILLE;Paypal
CMD0037;07/02/2024;C013;Huile d'argan;Beauté ;3;15,9;0;Nantes;Paypal
CMD0038;08/02/2024;C084;Corde à sauter;Sport;1;9,9;0;Bordeaux;Virement
CMD0039;08/02/2024;C080;Gourde isotherme;sport;5;17,5;0,2;Paris;Carte
